Order ID,Customer ID,Restaurant Name,Location,Cuisine Type,Order Date & Time,Delivery Time (mins),Order Status,Payment Method,Delivery Charges,Ratings
1001,C169,KFC,Delhi,Mexican,2024-03-02 21:26:00,21,Completed,COD,34,4.7
1002,C957,Dominos,Hyderabad,Indian,2024-03-07 13:06:00,28,Completed,Online (Card),46,3.5
1003,C654,McDonald's,Delhi,Mexican,2024-03-02 13:05:00,37,Completed,Online (Card),50,4.6
1004,C603,Burger King,Bangalore,Mexican,2024-03-10 20:34:00,26,Completed,COD,26,3.3
1005,C489,McDonald's,Pune,Mexican,2024-03-05 18:11:00,49,Completed,Online (UPI),36,4.7
1006,C891,KFC,Kolkata,Mexican,2024-03-06 15:39:00,44,Completed,COD,13,4.0
1007,C903,Dominos,Mumbai,Chinese,2024-03-05 19:40:00,27,Completed,Online (Wallet),35,4.3
1008,C390,Pizza Hut,Kolkata,Chinese,2024-03-03 18:16:00,30,Completed,COD,15,3.3
1009,C826,Biryani Blues,Kolkata,Indian,2024-03-05 16:30:00,50,Completed,Online (UPI),34,4.1
1010,C230,Pizza Hut,Pune,Indian,2024-03-08 13:58:00,37,Completed,Online (Card),50,3.9
1011,C383,Pizza Hut,Bangalore,Chinese,2024-03-01 14:52:00,27,Completed,COD,22,3.5
1012,C593,Taco Bell,Mumbai,Healthy,2024-03-13 19:40:00,57,Completed,Online (UPI),49,4.6
1013,C350,McDonald's,Delhi,Fast Food,2024-03-04 13:10:00,33,Completed,Online (UPI),24,3.2
1014,C610,Dominos,Pune,Healthy,2024-03-10 18:23:00,40,Cancelled,COD,0,N/A
1015,C598,KFC,Bangalore,Healthy,2024-03-14 11:38:00,40,Completed,Online (Wallet),21,4.4
1016,C424,Biryani Blues,Pune,Indian,2024-03-05 10:34:00,33,Cancelled,Online (Card),0,N/A
1017,C665,Dominos,Hyderabad,Mexican,2024-03-12 21:53:00,41,Completed,Online (Wallet),31,4.3
1018,C428,Subway,Delhi,Fast Food,2024-03-02 13:11:00,36,Completed,Online (UPI),41,3.2
1019,C257,Taco Bell,Delhi,Italian,2024-03-13 19:53:00,20,Completed,COD,32,4.6
